name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Budapest, MagyarorszГЎg",2020-01-27,1.5,-0.9,0.2,0.5,-3.6,-1.5,-0.5,95.2,0.032,100,4.17,"rain,snow",0,0,25.2,9.4,282.3,1019.5,94.6,3.4,19.7,1.7,1,,2020-01-27T07:16:57,2020-01-27T16:36:25,0.03,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,rain,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-01-28,3.2,-0.9,1,1.8,-4.7,-1.8,0.8,98.6,7.963,100,8.33,"rain,snow",0,0,45.1,24.7,107.1,1009.2,98.6,3.8,8.7,0.8,0,,2020-01-28T07:15:50,2020-01-28T16:37:57,0.06,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-01-29,4,0.7,2.5,1.1,-3.1,-0.3,0.2,85.4,3.519,100,12.5,"rain,snow",0,0,36,15.4,261.4,1009.3,72.6,9.1,24.2,2.1,2,,2020-01-29T07:14:40,2020-01-29T16:39:29,0.09,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-01-30,6.7,1.2,3.8,4.6,-2.7,0.8,-0.6,73.7,0.059,100,4.17,rain,0,0,39.6,23.1,263,1016.8,56.1,10,41.6,3.5,2,,2020-01-30T07:13:29,2020-01-30T16:41:02,0.13,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999,C5468"
"Budapest, MagyarorszГЎg",2020-01-31,14,-1.4,6.4,14,-3.9,5.4,3.1,81,0.532,100,8.33,"rain,snow",0,0,34.5,24.5,263,1011.4,89.1,9.6,27.6,2.2,2,,2020-01-31T07:12:15,2020-01-31T16:42:36,0.18,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-02-01,14.3,5.1,9.7,14.3,2.6,8.8,5.8,76.8,0,0,0,,0,0,23.2,16.3,212.3,1012.7,25.3,10,83.7,7.2,4,,2020-02-01T07:11:00,2020-02-01T16:44:09,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-02-02,13.9,6.9,10.6,13.9,5.8,10.2,5.4,71.7,0.55,100,12.5,rain,0,0,50.4,30.8,269.9,1012.4,57.4,10,75.9,6.5,4,,2020-02-02T07:09:43,2020-02-02T16:45:43,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999,C5468"
"Budapest, MagyarorszГЎg",2020-02-03,11.4,8.1,10,11.4,5.4,8.8,4.9,70.8,0.599,100,8.33,rain,0,0,40.4,28.8,283.1,1011.8,73.1,10,25.3,2,1,,2020-02-03T07:08:24,2020-02-03T16:47:18,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-02-04,8.6,3.9,6.4,6.2,-2.8,2.9,2.4,76.3,5.897,100,8.33,rain,0,0,70.1,48.6,304.3,1002.3,86.2,9.8,16.1,1.5,1,,2020-02-04T07:07:03,2020-02-04T16:48:52,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999,remote"
"Budapest, MagyarorszГЎg",2020-02-05,9.2,0.6,4.5,5.4,-4,-0.2,-3.8,55.8,0,0,0,,0,0,61.6,31.7,334.9,1012.3,40.9,10,49.5,4.2,4,,2020-02-05T07:05:40,2020-02-05T16:50:26,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
