name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Budapest, MagyarorszГЎg",2021-12-03,5.5,-2.9,3.4,4.5,-2.9,0.8,-2,68.7,5.349,100,8.33,rain,0,0,36,27.7,312.5,1010.6,55.6,9.8,31.6,2.6,2,,2021-12-03T07:13:10,2021-12-03T15:53:54,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-12-04,3,-6,-0.2,0.9,-6,-1.6,-4,76.6,0,0,0,,0,0,,9.1,137.6,1012.2,79,10,26.7,2.3,2,,2021-12-04T07:14:20,2021-12-04T15:53:34,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-12-05,1.8,-0.3,0.7,1,-3.4,-1.2,0.1,95.6,2.21,100,12.5,"rain,snow",0,0,,10.2,42.2,1006.6,99.6,4.2,6.2,0.5,0,,2021-12-05T07:15:28,2021-12-05T15:53:16,0.01,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-12-06,4,0.7,2.2,2.1,-4.5,-0.9,0.4,88.4,0.631,100,8.33,"rain,snow",0,0,,26.8,309.5,1008.4,87,8,16.3,1.3,1,,2021-12-06T07:16:34,2021-12-06T15:53:01,0.04,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-12-07,4.2,-1.9,1,1.1,-4.6,-2.5,-2.4,78.5,0,0,0,,0,0,28.8,24.4,302.6,1011.2,35.3,9.2,32.6,2.6,2,,2021-12-07T07:17:38,2021-12-07T15:52:49,0.07,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"12847099999,12843099999,12846099999,LHBP,12840099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-12-08,3.6,-4.7,0,2,-5.9,-1.4,-2.5,83.8,0,0,0,,0,0,,11,129.7,1011.4,12,6.1,30.7,2.6,2,,2021-12-08T07:18:41,2021-12-08T15:52:40,0.12,Clear,Clear conditions throughout the day.,clear-day,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-12-09,1.7,0.1,1,1.1,-4.6,-2.3,-0.3,91.1,6.91,100,12.5,"rain,snow",4.1,1.7,36,18.5,67.9,1006.4,91.6,6.3,6.5,0.5,0,,2021-12-09T07:19:41,2021-12-09T15:52:34,0.17,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"12847099999,12843099999,12846099999,LHBP,12840099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-12-10,2.1,-0.3,1.4,2.1,-3.4,-0.2,-0.6,86.5,1.763,100,4.17,"rain,snow",1.9,5.5,,18.9,225.3,1006.1,93.6,7.9,10,0.8,1,,2021-12-10T07:20:40,2021-12-10T15:52:31,0.22,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,snow,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-12-11,2.1,0.9,1.5,2.1,-3.9,-1.1,-0.4,87.1,0,0,0,,0,4.6,25.2,20,358.1,1012.3,98.6,8.8,6,0.5,0,,2021-12-11T07:21:36,2021-12-11T15:52:31,0.27,Overcast,Cloudy skies throughout the day.,cloudy,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-12-12,3.7,0.2,1.6,-0.7,-6.5,-3.4,-2.9,72.2,0,0,0,,0,3.1,39.6,32.9,310,1018.8,62.8,10,33.8,2.8,2,,2021-12-12T07:22:31,2021-12-12T15:52:33,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-12-13,5.7,-1.9,1.6,5.6,-5.4,-0.6,-2.9,72.7,0,0,0,,0,3,,19.6,318.1,1024.8,23.5,9.3,35.2,2.9,2,,2021-12-13T07:23:22,2021-12-13T15:52:39,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,12840099999,LHBP,11880099999,E3429,12836099999,12839099999,11858099999"
"Budapest, MagyarorszГЎg",2021-12-14,3.7,-3.8,-0.3,3.7,-6.1,-0.7,-2.5,85.6,0,0,0,,0,2.8,,6.3,40.1,1028.1,17.2,5.8,22.7,2,2,,2021-12-14T07:24:12,2021-12-14T15:52:47,0.41,Clear,Clear conditions throughout the day.,clear-day,"12847099999,12843099999,12846099999,12840099999,11880099999,E3429,LHBP,12836099999,12839099999,11858099999"
"Budapest, MagyarorszГЎg",2021-12-15,4.6,-3.4,1.1,4.6,-3.6,0.6,-0.7,87.7,0,0,0,,0,1.9,,7.3,42.3,1031.1,43.6,4.1,16.8,1.5,1,,2021-12-15T07:24:59,2021-12-15T15:52:58,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-12-16,6.5,-2.2,4.2,5.5,-4.4,2.5,2.3,87.6,0,0,0,,0,0.4,,31,308,1030.6,44.5,4.8,20.8,1.7,1,,2021-12-16T07:25:44,2021-12-16T15:53:12,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-12-17,7.2,3.1,5.4,3.7,-0.7,1.3,0.6,71.5,0,0,0,,0,0,50.4,33.9,307.1,1029.1,33.2,9.8,33.8,3,2,,2021-12-17T07:26:27,2021-12-17T15:53:29,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,12840099999,LHBP,11880099999,E3429,12836099999,12839099999,11858099999"
"Budapest, MagyarorszГЎg",2021-12-18,5.8,2.1,3.8,2.6,-2.8,0.2,-1.6,68.4,0,0,0,,0,0,28.8,30.1,303.2,1030.7,20.2,10,27.6,2.4,2,,2021-12-18T07:27:07,2021-12-18T15:53:49,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-12-19,6.6,4.1,5.3,3.9,-0.4,1.7,1.3,75.2,0,0,0,,0,0,50.4,35.4,305.6,1018.5,70.7,10,13.2,1.1,1,,2021-12-19T07:27:44,2021-12-19T15:54:12,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-12-20,5.1,0.9,3,0.6,-4.5,-1.5,-2.5,67.9,0,0,0,,0,0,46.8,35.1,308.9,1017.7,40.7,10,31,2.6,2,,2021-12-20T07:28:19,2021-12-20T15:54:37,0.51,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-12-21,2.8,-4.4,-0.5,-0.9,-7.3,-4.1,-6.4,65.4,0,0,0,,0,0,32.4,25.2,305.1,1025.1,34.7,10,31.8,2.7,2,,2021-12-21T07:28:51,2021-12-21T15:55:05,0.53,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-12-22,-0.3,-6.2,-2.9,-0.8,-7.5,-3.5,-6.3,77.9,0,0,0,,0,0,,7.3,133.7,1029.2,82.4,9.9,17.1,1.3,1,,2021-12-22T07:29:20,2021-12-22T15:55:36,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,LHBP,E3429,12840099999,11880099999,12836099999,12839099999,11858099999"
"Budapest, MagyarorszГЎg",2021-12-23,0.5,-5.5,-2.1,-2.2,-8.1,-4.5,-7.6,67.6,0,0,0,,0,0,,12.2,132.2,1023.5,83.4,10,14.7,1.3,1,,2021-12-23T07:29:47,2021-12-23T15:56:10,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2021-12-24,7.8,-1.9,3.4,7.6,-4,2.2,0.5,82.1,0.44,100,16.67,"rain,snow",0,0,36,16.5,207.1,1007.8,52.6,7.9,17.2,1.5,1,,2021-12-24T07:30:11,2021-12-24T15:56:47,0.63,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"12847099999,12843099999,12846099999,12840099999,LHBP,E3429,12836099999,12839099999"
